MonteCarlo
Card name;PlayedRound
;1;2;3;4;5;6;7;8;9;10;11;12
Nádeník0;0,620689655172414;4;0,947368421052632;0,857142857142857;0,333333333333333;0,25;1,05882352941176;0,705882352941177;0,6;0,642857142857143;0,514285714285714;0,4375
Rybolov0;0,514285714285714;0,3;1;0,947368421052632;1,05882352941176;1,63636363636364;0,526315789473684;0,818181818181818;1;0,5625;0,6;0,857142857142857
Začínající hráč0;3,46666666666667;1,125;4,61538461538462;1,5;0,857142857142857;1,5;0,615384615384615;0,72;0,5;0,5;0,514285714285714;0,418604651162791
Vzít 1 obilí0;0,428571428571429;0,6;0,782608695652174;0,545454545454545;0,466666666666667;4,15384615384615;1,63636363636364;0,782608695652174;0,451612903225806;0,466666666666667;0,461538461538462;0,580645161290323
1 profese1;0,75;1,63636363636364;2,25;1,16666666666667;1;1;0,642857142857143;0,782608695652174;0,72;0,692307692307692;0,486486486486487;0,486486486486487
Vzít 1 rákos;0,857142857142857;5,4;4;2,25;10,4;11,3333333333333;1,38461538461538;0;1;1,28571428571429;1,07692307692308;0,769230769230769
Zorat 1 pole0;0,0930232558139535;0,5625;-0,114285714285714;0,45;0,461538461538462;0,620689655172414;2,72727272727273;0,27906976744186;0,391304347826087;0,230769230769231;0,28;0,327272727272727
3 dřeva0;0,642857142857143;-0,210526315789474;0,947368421052632;1,125;1,05882352941176;1,5;4;0,571428571428571;0,642857142857143;0,5625;0,461538461538462;0,666666666666667
Stavba místnosti0;12;8,8;2,25;1,8;1,09090909090909;1,38461538461538;0,75;0,857142857142857;0,642857142857143;0,45;0,642857142857143;0,461538461538462
Zasít (obilí; ; ;21;10,8;10,8;18;14;4,5;5,4;4,8;4,14285714285714;0,666666666666667
Potomstvo a poté 1 malé vybavení0; ; ; ;0,444444444444444;0,375;0,216867469879518;0,285714285714286;0,272727272727273;0,333333333333333;0,545454545454545;0,72;2
1 profese2;16;2,33333333333333;-5;2,57142857142857;2,57142857142857;1,33333333333333;5,2;2,25;1,16666666666667;1,28571428571429;0,933333333333333;1,05882352941176
1 kámen1; ; ; ;9;4,5;6,85714285714286;0,285714285714286;1;0,9;2,47619047619048;0,947368421052632;0,857142857142857
1 ovce0;2;1,8;0,947368421052632;0,947368421052632;1,05882352941176;5,4;0,823529411764706;1,2;-0,166666666666667;0,692307692307692;0,692307692307692;0,692307692307692
Ploty (1 plot za 1 dřevo)0;25;22;0,5;2,57142857142857;0,363636363636364;3;10;2;1,38461538461538;4;0,947368421052632;0,818181818181818
1 kráva0; ; ; ; ; ; ; ; ;1,6;1;0,782608695652174;0,333333333333333
1 profese3;1,33333333333333;3;10,5;1,33333333333333;-0,4;12,5;0,8;-0,444444444444444;6;2;1;1,38461538461538
