Random
Card name;PlayedRound
;1;2;3;4;5;6;7;8;9;10;11;12
Nádeník0;0,00327272727272727;0,00316011235955056;0,00352941176470588;0,00364593882924853;0,00411899313501144;0,00471204188481675;0,00517836593785961;0,00555727076258104;0,00568720379146919;0,00979325353645267;0,0240963855421687;0,18
Rybolov0;0,00288276745675849;0,0032114183764496;0,00344761539934878;0,00380308472427636;0,00401516841400848;0,00445103857566766;0,00505902192242833;0,00550290431060838;0,00573431028990124;0,00954907161803713;0,0262390670553936;0,129032258064516
1 profese1;0,00342726580350343;0,00452034153691612;0,00518283904405413;0,00594844679444812;0,00754400670578374;0,00916030534351145;0,010507880910683;0,0120643431635389;0,0125260960334029;0,0220858895705521;0,0521739130434783;0,260869565217391
1 rákos0;0,00295033601049008;0,00339686733345914;0,00353079639074147;0,00374609781477627;0,00410396716826265;0,00431034482758621;0,00523560209424084;0,00552825552825553;0,0057840616966581;0,00933125972006221;0,0250696378830084;0,137404580152672
1 ovce0;0,014274385408406;0,00450676014021032;0,0035033086804204;0,00366225839267548;0,00399644760213144;0,00458015267175573;0,00484391819160388;0,00502793296089385;0,00551808706315144;0,00895522388059702;0,0257879656160458;0,15
1 jíl1;0,00297520661157025;0,00329912023460411;0,00358708648864089;0,00384122919334187;0,00406137184115523;0,00449662752935299;0,00497649986176389;0,00535395597858418;0,00578034682080925;0,00972447325769854;0,0263543191800878;0,166666666666667
Vzít 1 obilí0;0,00305136463807425;0,00311634349030471;0,00344497607655502;0,00376411543287327;0,0040133779264214;0,00432380494835455;0,00505050505050505;0,0053940665268205;0,00559006211180124;0,0087463556851312;0,0252100840336134;0,148760330578512
3 dřeva0;0,00316066725197542;0,003281677301732;0,00361373218229271;0,00375156315131305;0,00403135498320269;0,00469361147327249;0,00511218403862539;0,00557448126354909;0,00587659157688541;0,00936524453694069;0,0258992805755396;0,15
Začínající hráč0;0,0043731778425656;0,00513698630136986;0,00549282880683552;0,00594059405940594;0,00666419844502036;0,00672645739910314;0,00825688073394495;0,00891530460624071;0,00967741935483871;0,015625;0,0399113082039911;0,211764705882353
1 divoké prase0; ; ; ; ;0,0243572395128552;0,00538116591928251;0,00457317073170732;0,00489130434782609;0,00533807829181495;0,00898652021967049;0,0245231607629428;0,162162162162162
Ploty (1 plot za 1 dřevo)0;0,0652173913043478;0,0196506550218341;0,00875912408759124;0,00819299044151115;0,00782268578878748;0,00834105653382762;0,00887136520453425;0,00931195033626487;0,00982532751091703;0,0147540983606557;0,0382165605095541;0,28125
Zorat 1 pole0;0,0029600394671929;0,0031055900621118;0,0032924821657216;0,00352043809896343;0,00383713493924536;0,00433839479392625;0,00455350366810018;0,00499168053244592;0,00528169014084507;0,00917899031106578;0,0248618784530387;0,145454545454545
Zorat 1 pole a/nebo zasít (obilí; ; ; ; ; ; ; ;0,0231660231660232;0,00781589231437256;0,0105571847507331;0,0292682926829268;0,126315789473684
Stavba místnosti0;0,0517241379310345;0,0168224299065421;0,0122699386503067;0,0113708149084018;0,011313639220616;0,0099009900990099;0,010752688172043;0,0110429447852761;0,0113207547169811;0,0189075630252101;0,0431654676258993;0,219512195121951
1 kámen1; ; ;0,0368098159509202;0,0072463768115942;0,00413128299288501;0,00482962167963509;0,0049902966454117;0,00533175355450237;0,00582147477360931;0,00916030534351145;0,0242261103633917;0,142857142857143
Vzít 1 zeleninu do své zásoby0; ; ; ; ;0,0287539936102236;0,00557620817843866;0,00478468899521531;0,00506756756756757;0,00567465321563682;0,00892414476945959;0,0243243243243243;0,148760330578512
1 kráva0; ; ; ; ; ; ;0,00831024930747922;0,00523103748910201;0,00526932084309133;0,0092497430626927;0,0253878702397743;0,15
Zasít (obilí;0,818181818181818;0,0676691729323308;0,028892455858748;0,0232558139534884;0,0182186234817814;0,017175572519084;0,0162016201620162;0,0152027027027027;0,0159010600706714;0,0262008733624454;0,0689655172413793;1,53488372093023
1 kámen2; ; ; ; ; ; ;0,00894187779433681;0,00581395348837209;0,00584036340038936;0,00942408376963351;0,0246575342465753;0,157894736842105
Potomstvo i bez volné místnosti v chýši0; ; ; ; ; ; ; ;0,0188284518828452;0,00606877950101146;0,00964630225080386;0,0346153846153846;0,8
Potomstvo a poté 1 malé vybavení0; ; ;0,0845070422535211;0,0183299389002037;0,0134328358208955;0,0152671755725191;0,0175609756097561;0,017982017982018;0,0186721991701245;0,0328467153284672;0,0989010989010989;6,22222222222222
Renovace (1 rákos + 1 jíl za místnost na jílovou chýši/ 1 kámen za místnost na kamenný dům) a poté: ploty (1 plot za 1 dřevo)0; ; ; ; ; ; ; ; ;0,072289156626506;0,0366598778004073;0,076271186440678;0,151515151515152
